Gene_name,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Venus,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth,Earth
Gene1,7621916.234,3013070.588,3532728.114,31642.14581,414507.364,205017.2102,146767.5524,15857132.19,253902.3093,893427.2588,824789.8385,1251764.377,98632.13653,284051.657,167336.016,212140.372,488232.443,210168.9298,95626.00904,1747983.68,232404.4764,68890.28018,993364.3704,44790.85441,132088.6085,643418.5389,1509448.746,137107.1855,1208554.992,455290.6071,855237.8246,620237.6894,2080887.926,1094780.296,65466.81993,16330.86609,217086.4066,708256.6317,59596.93203,650036.0591,407119.3523,160714.4535,4361406.998,811566.7057,682953.4712,579911.8431,958061.0181,904189.3934,42494.94714,3295050.028,22769.8893,1101506.92,211289.6918,341126.6201,2083841.225,6827640.198,441746.4086,342719.7075,91095.86516,322164.8874,455036.9186,349218.0551,780097.3657,1690950.518,247603.065,175688.3841,182089.6844,86383.71899,1197146.211,207752.1568,212292.888,114375.1314,436530.4301,174471.5807,19448.76339,2104389.509,302852.3871,85720.55023,1149838.219,278581.6121,258023.411,225792.2848,1228813.009,556531.1256,119968.1695,562075.4237,2280740.009,44323.57507,935946.8124,27012.60668,581040.8824,395894.2858,2062697.969,150432.4601,316740.4897,293906.697,2974940.407,447007.1745,1198737.818,60286.80779,904720.8346,778452.9222,57616.91174,175971.4298,211603.004,738285.3031,78483.50537,102185.7942,96225.73208,402707.441,7897704.595,696558.1825,114603.1826,1349780.961,812103.6418,1443707.765,2293941.657,763385.6252,155746.6434,62544.97529,593632.8586,2899144.022,564649.2217,769019.921,100283.4965,3088799.361,38736.98602,340694.7765,307132.6152,176835.852,350098.3005,1184615.494,91731.16547,886314.1939,539315.7408,14492.53147,805478.9755,93579.17207,409794.3835,23862.84801,3013887.614,168451.9065,607414.3071,459599.9531,85301.03451,999227.3101,2836165.234,918787.303,2824029.846,8779619.511,220141.3097,480545.8525,127779.1359,380266.754,78639.01082,1731291.841,734365.3055,658497.322,147919.6287,406245.5248,794168.7717,699140.7701,69086.36873,332954.2945,674774.7945,280188.435,681602.1022,991074.1501,2886862.091,325505.6879,586086.8149,68732.86925,154526.5359,2091551.975,479924.9159,4036177.073,38173.10958,470578.7355,1327699.605,406646.3609,623721.7792,2143988.924,1241590.768,189476.9724,234189.4157,498041.3563,9433707.583,104238.3963,315734.7096,359751.8814,288256.3966,893134.1836
Gene2,1263198.083,1188670.985,2702780.275,598996.788,1860491.237,2835747.511,833804.8351,350921.6568,1747748.834,2332929.995,908373.9855,793208.5588,1962020.809,5504821.222,11006022.47,1561271.376,2674288.389,3416814.251,5033901.689,906426.3148,3048971.95,62724.49129,1182242.975,1311074.765,448951.4346,1533073.257,1097860.017,498341.557,1520896.11,669137.4356,2612342.297,1030598.526,672750.554,4432654.944,1131217.575,1758221.442,226316.5063,107321.115,4012835.085,480564.2948,3509660.504,1480698.201,2810025.274,6174749.77,695089.7404,4918015.945,1354709.557,1061635.711,407694.4732,276423.8589,292714.5914,5491478.295,2460310.555,578641.3204,11153106.14,158972.1385,2313480.338,1069181.847,978284.5591,1983072.083,383463.0618,6663645.711,4544509.878,6582185.166,1173166.353,1267921.417,1040897.784,2086836.825,2233253.806,531075.636,5588638.393,2033693.693,2123630.647,740581.6933,559004.1054,723122.1886,873089.8661,641757.9637,938378.8159,2297446.773,23829.42455,24017.82455,276460.504,91687.99225,51154.95513,3608.119654,6641.292386,19610.74208,21703.58897,43300.75785,56265.5292,23492.63771,141688.1474,4810.336345,16444.35595,171135.2419,10771.6677,8716.793009,68910.74364,6325.168612,40289.13168,22078.86921,39589.67817,40408.17588,20798.67344,11118.7095,29720.89509,5899.566094,69660.55957,14323.30259,70559.19847,13511.35512,91121.66016,7955.921526,11737.23733,78122.31004,9359.378566,15842.18288,16683.82442,27224.23624,30324.14938,18666.94503,24616.67922,2144.53439,11658.49854,4543.064889,21258.16168,12757.28191,12332.79038,43996.35173,35342.71174,14543.33535,24903.44564,12531.11986,16064.6016,3336.227458,15535.22105,5412.540479,13005.49592,18979.92902,40719.36628,24450.90688,14609.06432,45554.30587,37884.48296,15893.59899,12777.29714,17805.32073,11739.60466,48686.52674,59687.71903,2769.960957,47170.67095,12500.27577,40864.88041,94209.85762,15061.27616,87083.06344,22419.75389,53793.95048,15408.70163,147975.2884,7578.672782,51904.69158,24527.57698,20968.15122,26680.378,38805.96383,13074.27231,66281.32609,220179.4456,13469.56053,12265.9689,7627.429548,27265.45005,21804.42119,58269.47328,8407.047156,8925.07069,22447.65012,14528.59806,50463.43301,18711.43701,42249.36906,5934.363901,68923.65625,54796.95192,16362.12118,5895.903111,28967.67253,6751.852599,37465.22798
Gene3,6242397.416,8982137.795,296858.3799,52036707.04,961357.5056,85330558.95,11577829.15,140303123.4,68796.18478,1543982.026,126239286.8,202653627.9,5898807.571,1479072.698,18509480.09,180455849.7,10565431.12,282979.9188,9998694.751,25617703.86,59397627.47,70608487.99,5565460.127,77227471.66,4601241.745,7278772.423,164454.1714,2366832.883,27389914.05,56778296.76,7517381.226,1709995.943,1834521.504,493378.6022,20778880.9,19239936.87,9186489.545,34488545.99,2780928.412,6214894.017,4762472.726,1691839.439,2685288.526,456768.852,12628674.39,23358391.66,23821741.36,14177296.66,12247413.92,7138947.026,26109838.97,42812748.74,2480392.184,18751026.2,35684520.7,1043509.793,23082094.08,282445465.2,4074431294,25741151.87,100345259.1,23886042.6,3856398.031,93477005.47,190060528.9,8032933.709,662396.5596,1284900.566,3307075.032,11029176.1,52257109.2,7984127.251,193500531.4,8229189.537,30041908.53,13151634.95,2688929.096,777494.3988,2783619.387,27863746,2133174078,2499478419,21148564642,90764309.41,802836155.3,3158210255,617512437.9,6696048647,10044623295,397487606.3,15524787053,38391647.8,536395575.3,1152866885,269236256.8,1410772418,1532795027,35598302.47,107938675,149510710.3,13612105890,4403014.134,17616422.78,3988237978,1819860938,49017358.63,56187129.31,829290750,29918517.37,5519082.788,301535839,6645143264,24181809853,9129989.757,660817731.5,45988256.15,26537420407,10505908582,59198791.41,945004519.1,5878162586,240358431.1,398594519.4,696871112,123938339.3,99469982.63,24125456822,190153817,291539459.3,8192318.207,377360936,91609619.17,6979666583,1314990874,9487241.065,453924639.1,30743941.53,1350437252,256881150.5,11592623877,191802811.3,712795590.4,3154869.012,9760354698,8440478055,615051041,251595771.6,631144232.2,173975505.2,66714184.25,441077945,390540666.4,2562215100,149456349.3,9955347646,15856828955,64600417.29,646526590.2,117080653.4,6630714.333,125656493.9,139022040.3,244198905.9,7104540852,9776221636,51792156.71,7302293292,362719937,347789531.7,336556041.7,651914616,1622355109,266558253.2,348291941.6,130935867.6,48572710.22,2844583794,8460699115,16566360508,50639184.88,934713354.9,40496380.65,810160537.3,193574899.6,1676552483,12540980.12,63964054.34,10668152.71,654610093.7,4613675686,13891415428,12145942.56
Gene4,136.5703312,285.5391857,96.64393815,111.3801627,818.7263125,39.08500218,259.4788437,283.3138128,78.80229789,59.84714408,178.7702795,65.99752851,133.9922146,62.92014335,160.1683347,98.7813591,166.2013176,361.87223,81.27662092,332.0636777,243.6196353,62.66338013,208.5591152,340.9203759,45.44342407,591.6804957,48.59470918,63.42410005,188.1123365,87.76279613,1210.94236,408.4608248,107.2330335,368.8957318,109.7528961,170.9559688,62.34300133,211.9623309,868.4290217,340.3579002,145.155862,176.3744887,124.5816146,81.58272197,60.16289908,59.09397431,753.9290418,1253.475831,98.99895419,99.84344697,161.1646058,293.6259618,413.6626162,819.7677953,85.13635267,639.0927004,123.2013504,937.7944444,112.3941368,196.622143,63.58548323,128.4866628,51.59592173,223.5128762,139.4007912,151.8637926,1495.273853,116.0830173,487.0880815,258.5610417,319.0057043,60.30925794,55.89098833,238.3492627,116.9928426,60.20510486,100.0212285,70.15076173,46.2837784,86.95672776,7435.161376,6351.26982,35541.03151,11931.97781,1531.116273,23777.57432,7733.446545,1219.239381,24237.59331,24372.58345,7495.026421,3019.819648,2436.324948,11791.19754,8070.482721,26074.05573,4885.906657,3920.449732,2811.723673,6110.151507,2531.975435,8477.587051,5348.773142,7294.409287,1360.89852,3771.817431,7576.039018,3089.537922,4426.862592,19079.21201,25710.2155,12208.52062,11405.31103,5354.815039,4492.777273,6848.60517,7824.708754,2391.350786,43107.25076,3694.188376,8847.335762,12651.85096,8572.86264,3535.217953,4738.390694,3363.844155,3353.962209,2081.740714,15000.62027,13866.06012,15984.94274,7349.381704,6287.420746,13170.12696,7041.239229,15790.58806,3131.244444,6826.010171,8203.49613,11679.65918,4549.409402,6532.380685,5582.653786,12284.58343,9522.618944,2207.853071,15077.56353,1822.025866,8048.736426,12066.15524,5539.658917,17434.90513,6847.017353,11993.14858,17003.50682,4333.11241,13726.20269,5390.395639,22356.48492,3071.240381,8507.073545,36445.40134,7805.49351,21920.7513,8140.718912,2457.312589,4672.416002,17460.03193,13256.36164,3164.059229,9408.179565,41129.02745,41654.12294,12026.8356,2728.261766,512.3095316,9340.043047,3043.492686,11758.82472,4558.905432,42169.87731,4770.630066,10140.42051,5342.466264,9934.508057,4259.17399,67814.34263,3840.147846,4326.63944,21267.86152,33543.23097,2676.915027
Gene5,10929944574,52786484921,17283576897,2.63637E+11,478629924.5,4395205236,1223825091,18785007283,1.12164E+11,47947209333,17693576693,1.46124E+11,27761184510,22351445256,4551130899,78825132975,18072882076,20515799381,2087569923,56672121853,748550283.5,5648828943,39284801574,64395320493,1.46777E+11,10823625944,4692444515,67252678006,13508124904,338940497.6,13348480032,1990431356,11512118995,8766482530,23096342089,1666455211,178636623.7,2468207515,1031251156,19732271406,2.79751E+11,9884894568,24814819094,493229166,18591044559,1466671798,12508348452,3865092231,3109273690,38548079925,7037614652,19256751669,7583186260,73125875569,5694597251,1285147204,10443785842,2.36392E+11,1184108546,32022109213,6483618646,16604505448,855312843.1,29699103536,4892524528,5.37883E+11,1.82363E+11,24458334546,4832306402,4736913448,21220823921,60033990127,1.28288E+11,265809068.6,8329231720,16680211592,5638856269,746961911.6,15598563937,7214294853,4935879545,218577440.2,9827624.826,379035075.1,406948922.2,1918701378,5309067.892,58336274.36,165061477.2,61614870.43,9522376.609,790034459.4,1442775940,156544859.5,11447818.2,487551641.3,41182047.93,173369813.3,148301271.1,72355174.86,6035133664,222181703.1,92425691.02,1022768302,13786055014,95542503.53,1216479918,327463806.8,41833404.97,16269173755,302750230.5,6911927.755,170273571,41512804.62,5969018.549,47422935.88,551615447.3,81088670.65,54974267.06,4993307850,64017646.55,39341202.43,445302739.9,1650300358,8236621.154,3840993.392,208106522.4,14629107.95,55722936.12,1147926478,240596044.6,3746844.835,357572138.1,63026155.56,1524754501,14310610.14,2898295.505,945302892.7,12355790.3,452579273.8,149636142.2,11604171.61,517495306.4,16961499.01,197120593.9,2413121085,84432608.02,106690038.5,111077490.8,58645737.16,119681948.9,181993103.2,13077929.9,11808652.16,1381090893,314392608.6,27735900.37,37049957.42,949424299.3,5058037459,74380729.51,690164372.5,3026008999,4631050.327,511295360.3,184103862.1,164940355.5,52077875.45,32669327.17,112881280.5,147263651.7,339828976.1,42724378.81,91251185.56,312534716.8,39925203.17,916051178.8,12118128.12,218816278.8,78883822.93,14567157.83,31645207.8,49213033.98,1561287293,284414364.8,1434023258,4006547567,15292049.98,356931920,296178764.3,124214205.9,5081983.233
Gene6,252083045.5,395396042,38702046.44,833295526.3,NA,24303112.33,48129423.43,120174102.2,9372670.558,153678217.5,18338930.38,357470193.7,3095331688,48347536.75,1102297638,132184769.5,86682353.88,32521973.24,361086612.7,4523435033,750634300.7,2029259612,422002811.9,647512470.4,381395004.2,1164934202,12810622.07,76140126.45,2811414667,401598888.8,17937271.13,45218540.18,578708063.4,894546758.1,68183680.98,250654562.2,393939870.8,2851862504,13303536.63,56545719.24,3114505.384,4374456.061,524552283.8,75199503.41,490497955.1,1448025077,2133820021,1405951065,1139930448,25609176.88,38844607.46,74327960.81,447066743.2,711934663.6,10122230.02,87714105.09,103964083.2,2211062873,385266954.3,1523423135,124873042.2,1804212596,278563200.9,421102108.7,13432661.62,234951782.6,321254200.1,26868077.02,403115014.8,1576496736,523383095.3,1849600.082,125752937.2,70707790.8,12808867.4,57594886.17,749090316.2,29331168.47,18589102460,687103600.3,92042608.16,2649730678,328068419.6,196503948.3,567012459.7,800337295.4,127479591.3,2248742734,10161311.38,523544060.4,225210522.2,105329174.8,1551084802,29775909.87,21181629.72,248624571.2,394548204.4,137413581.3,44703370.38,1249879829,21328544367,210491247.3,59655402.47,188143285.4,66915817.78,138936949.8,82789696.33,18978740.4,909669447.2,160376192.6,12688110.86,43701974.06,193710487.2,640771993.7,178246995.5,38572245.4,1466998491,605865658.1,751600955,291074424.1,2268748066,170433450,274386545.1,163372878.3,1575063497,321768273.4,3467233845,167754703.7,329522837.8,311335669.2,502491776.5,59134899.83,25253841.74,66138772.4,242694080.9,7705044.902,697982656.7,153132185,285324737.1,5601462.145,300325974.9,594740642.9,10260418622,186523439,19329202.99,258361751.7,214838416.3,80296091.07,1194244399,318636098.5,2090425470,8957539342,21318074.5,71937499.4,229624005.6,149606084.4,45370525.76,84068196.14,113758723.4,246282671.6,135396515.7,1251369993,168770521.5,1030899029,9890940.049,85609354.35,858013673.8,750239568.2,276547844.5,16674757.52,793089593,5858500.098,37842939.74,63284973.3,225670297.4,584437331.1,443038406.3,309676984.7,2697510.485,5383305341,8056849.993,433966958.2,4282346947,32997734.06,118389828,2631104000,3901470735,130549473.6,69316866.94,432349886.7,87338439.41,244431645.1
Gene7,18394932.6,530420.4643,371888.5498,6155513.261,17930423.52,357917.95,642284.1202,1563398.508,22809611.05,3082868.895,289962.7432,704895.7035,1220075.615,1552824.781,3845171.745,541371.0908,18929794.03,4281607.902,509085.758,2807730.938,4370477.809,848275.3574,34954268.44,831831.1847,1498042.86,661434.8001,226618.7022,20218431.42,37893.8619,363288.1416,2565237.564,4463104.82,6468057.786,195960.2495,2785557.195,2459149.554,214217.2803,330764.1553,459985.0004,13793612.37,6161617.093,1329435.601,3841555.655,9652905.673,1318964.464,51056.6481,1042323.026,1074244.517,12596031.92,2357391.176,1664504.367,1275157.103,1793540.251,1073356.07,447899.6352,2837378.968,2685574.214,231542.1877,647433.9158,3527561.311,2953103.007,2639850.844,3105300.031,3681329.423,1028081.065,1703568.674,3034819.983,317849.2137,260547.4268,451428.341,208997.6698,1825424.645,2844638.095,1746915.288,1263344.892,120192.7419,1506826.365,144370.1682,28788.30479,580536.2791,560660.4272,1427070.274,228738.815,12128908.8,1058391.294,364275.3893,2163753.7,1204530.27,4718174.544,451343.3446,4479573.415,19006285.21,3088056.373,1488824.585,9274210.762,460823.0588,2747671.784,1895860.279,5129170.176,576509.9428,1470393.491,399023.015,58381.65212,1363663.01,195111.5755,1262378.184,7558153.449,2385652.089,2225258.499,654351.7516,2171866.173,2621072.251,1339664.046,390651.2592,274629.8854,3875357.332,3069444.343,190349.0888,1932692.78,10594536.34,1273934.994,1370257.704,277877.5042,2581167.282,639325.8983,164656.4974,6544207.237,3836957.733,3297860.946,14750438.91,2696986.282,662516.0778,1210216.353,1502558.289,3572563.594,4066020.228,143923.7142,2852202.416,1472809.528,3506336.216,957734.1661,1018922.636,3886704.311,104596.0608,13035457.76,290909.4781,1808834.492,611977.6956,3356386.29,239451.3703,1703272.73,233547.4421,3788663.586,3064208.933,254220.6012,2307076.348,82700.38606,173672.6966,1484059.97,210048.7678,769465.0002,540243.0833,46421.80001,14733744.44,158811.6517,705396.0008,159196.9372,5292267.203,1047043.078,1327678.143,2719575.685,1643181.974,6847136.391,258761.9471,328196.5121,860461.2091,1275968.032,13304051.12,12294952.36,221933.716,2500766.814,5571249.228,2168860.952,3124692.346,807918.6215,279348.7273,677734.9341,3616925.628,213353.2776,1437276.577,181352.9337,3181290.193
Gene8,2564945.715,8543090.348,5016536.734,335793.674,26207693.42,15687368.19,743529121.2,2421416.061,4029693.146,1309924.217,5858104.512,56164053.81,29442291.05,25175506.84,2358690.775,41270587.45,436396.6875,13480787.27,164707.3918,188316.1626,505602610.4,294856382,1563426.96,126634065.5,131375056.3,1516222.254,1097704.571,11138753.1,201924770,6413968.418,2751301.843,5769778.969,2702684.855,6330145.399,8321888.78,29945478.17,838209.2856,101364393.8,29657883.52,21322479.92,16851553.1,645741.9894,2041308.756,4372099.493,22858328.07,12741025.91,300587290.2,24368198.96,17685225.18,12608502.98,59070285.07,75579761.05,1272513.043,17936485.73,18995605.57,7025670.133,152628825.5,143954363.1,4096917.776,86964440.21,50970994.78,9142515.979,860921912.1,43552.24543,2222723.107,2009918.264,648963.0977,2241559.465,3764488.724,36714119.93,3113387.698,51975850.41,43915319.68,7825031.73,26266934.78,516633.2797,26453530.21,1959531.876,4151354.831,45667981.81,736992091.1,1088062813,1809626633,1425689395,2625850906,889866735.3,49539887.46,3665580441,6490993392,29205186.74,135563014.3,100181358.3,2673267621,140410331,35010778.16,593066477.9,363870212.5,1568929947,1067994656,1128525957,1844462232,4253586304,4786934421,90092997781,138537998.4,195297672,14577670.75,4001292827,15104604.73,304123817,1787678086,449106965.7,732142078.7,133453242.3,5515853134,130232727.9,803796489.4,27115027640,1970591289,309697718.6,101090063.2,209556765.1,1722242967,12357723071,40067620.68,4228067533,10489393.13,171704672.9,127345632.7,41728792227,182983016.3,1626822627,7861512363,32296023.89,955392607.9,25209738288,6028881.507,1050516028,151518410,1474727707,703912886.9,281072084.4,13241972.52,1701587837,139882971.2,86895247.56,3062131507,1286704552,54431882.58,4278528859,151437449.9,598362397.3,6824662474,37798364.59,7486911892,555015575.5,141914692.3,1036242410,5008776531,283874654.8,5520834401,1519702790,735743290,183616107.5,3110815810,1895863894,74820626.73,10835471.16,4492964153,24547378384,32107311.98,121644515.5,32483061.69,689611092.3,114332946.8,89753242.33,19914036.6,189393316.9,273257744.5,306668252.4,3548925155,2589935550,134771806.3,81674233.39,47693725.12,7482033749,1344135038,11004544199,1495104903,183644076.1,4290890118,3844106042
Gene9,4060623127,5173192156,1093102011,9464382031,11206142.94,1480355303,1995833697,380376941.6,6673000157,3363866809,8036542321,1298168547,644596123.1,639407366.8,716151357.9,2595818720,3933070858,6048416758,1986658654,98102121.62,3958175177,2632417909,479057516.2,4686916611,2402311852,3327264604,9347390691,443751103,1387142872,2224407235,100453815.4,254396733.5,78554588456,1146508475,1003377858,1573255719,85059248993,303954420.9,9893999826,5106286861,17161209059,13964347777,539306493.1,2745436481,179135360.8,199649227.2,52433160140,223820643.8,419689318.4,1287068817,287110413.1,826025805.4,97504013.05,378158957.6,1287699758,221039712.3,552361973.9,2072893923,3254040037,7854188702,1362634697,1990995487,2368492560,190380391.3,576307529.3,601785883.8,6495033608,1.84928E+11,47137802480,50961620550,8669115007,1896911270,2739295051,265405843.7,545852354.7,1184743556,11291794189,2960724480,1272310543,260715388.6,15403099.86,32611721.33,247460913.3,6146473.092,11737404.11,23626591.52,2555354.407,4041984.194,28216937.58,25545105.51,12177640.42,30887841.14,25341181.51,1712800.947,430691894.7,32983006.71,58522453.81,37943756.82,142748064.3,4036356.635,120595033.8,4093751852,12584297.98,5573974.159,109827869.1,7172166.611,447293186.7,118565108.9,52297473.83,44372703.35,78521614.8,9707745.006,170559544.8,118572937.9,121421684.9,1998655.772,5189111.602,2747406.464,1206796.036,2284468.799,11243287.82,68647341.11,352685964.8,36019524.46,1550399.858,37634018.78,627538.2852,7410307.797,781739615.4,973550049.4,293641200.7,31393587.73,149824613.6,46010377.4,205739121.8,15431467.97,13903738.24,127137577.1,29815042.93,8275942.461,1037217.137,502057.4748,69017176.82,80173882.8,12629901.54,28373029.56,116505345.4,56318168.23,86220448.5,1939915.364,9676018.061,3522908.198,10582406.6,15123633.71,4019880.294,57919435.72,34512104.74,17441432.58,1967215.711,5105596.35,25889221.12,818670524,5443895.5,44592880.69,32830606.86,17194102.22,194286548.9,51636414.28,11069659.5,9508503.182,39762642.85,1565307.382,8985821.648,14415714.6,7727173.906,21623858.78,78934646.39,875417.1338,98762839.7,2002721.508,6901427.231,29316410.99,239996423.3,28449285.58,33407652,6109987.913,23422170.92,704659066.8,132576.6095,44004665.45,1024614461,1443308.121
Gene10,5924.882735,2462.555376,2978.57967,410840.5946,4908.990819,42616.23016,7307.632499,4725.695792,1759.53188,2674.21468,26512.18661,3036.151996,7710.283921,5917.9298,11563.93207,4960.093653,1443.795842,47343.15364,16837.23547,5722.98763,1690.742377,789.3832253,24338.86413,9573.112994,31556.96229,30498.11885,36794.50551,1960.252322,25729.36401,877.7663346,3718.48693,3398.050512,5121.503246,4685.016737,7006.85073,4998.890016,46199.24156,48618.07992,915.8539487,53007.78463,685.8929618,3134.834546,1909.839344,9562.268572,3172.201704,42324.80307,55282.12735,1251.60705,13170.7437,9888.534619,30856.12718,5428.890639,29261.72013,59634.92786,17459.19718,18180.44029,7079.104047,20493.13263,32640.5512,2500.45418,4077.830053,11351.43831,19836.62733,14333.91117,54787.62598,4472.596866,84698.62711,12552.57115,47128.13318,7288.021209,8005.684244,31964.26588,5195.673622,8996.231731,13302.4254,63818.14159,2647.759743,2882.972316,1142.77073,11966.12417,420319.7729,5049263.821,377265.9298,21460.92336,1192474.635,10818654.52,1129706.042,375753.8357,161756.3748,683115.8616,103056.8771,676978.9413,518376.5679,1331232.564,4630779.325,99313.9686,303207.8034,874008.9633,848408.3667,38109.90031,107786.65,812567.2109,107074.8823,595794.6589,45433.3865,361769.1801,76444.40013,144759.272,162311.4689,116364.7031,815415.554,227567.9489,22620.05193,180225.0418,705344.2344,460665.0093,408789.6236,154713.0938,690991.9929,932294.8683,17691.47283,412083.898,394830.014,218911.2405,401892.4822,177857.7846,732743.6095,380245.5458,1962916.372,213458.2713,1093103.967,862304.2031,254071.8442,17064.10557,568852.4506,195056.8875,758064.1362,304809.6381,86110.9947,684421.4535,8338854.529,536486.4662,582717.87,188766.5345,198430.499,1466219.303,136103.1633,260577.5393,265863.2656,111723.8854,2328928.145,210667.8901,298760.1875,1019589.577,637187.5671,50793.3713,3892666.076,173882.9415,358588.8658,660082.688,480943.003,809697.1028,126526.8769,2138484.77,43903.09346,4119317.946,240639.9588,710444.2199,51520.05025,3208179.208,50131.54343,2198400.714,118691.1734,2038987.332,1016533.856,499248.8806,1713655.443,219335.1463,996470.9702,82360.64151,575729.257,1202241.742,162919.3992,778469.6504,1040594.933,282058.5873,36393.51795,4153186.205,179388.7085,313667.2955,704002.5735,176490.1467
