 ,Area,Mean,Min,Max
1,3296,118.414,54,233
2,3235,113.369,42,231
3,2652,87.465,31,210
4,2476,104.079,49,214
5,1066,93.952,47,224
6,2617,101.053,28,211
7,1555,103.419,43,215
8,2758,90.724,27,215
9,2714,76.648,35,197
10,2515,90.290,23,214
11,2772,114.431,90,183
12,2408,93.818,22,243
13,3171,108.571,43,214
14,2141,78.195,39,216
15,3278,111.191,30,222
16,346,125.370,22,205
17,2329,103.167,37,210
18,2616,110.041,36,206
19,2962,144.458,69,217
20,2998,96.833,63,163
21,3072,125.704,43,221
22,2998,132.323,104,186
23,2181,138.950,93,166
24,2087,98.661,64,203
25,3176,89.202,21,216
26,2945,125.356,44,231
27,2619,67.103,14,213
28,2706,130.038,59,230
29,2159,116.332,60,222
30,1872,104.443,58,220
31,737,94.520,23,214
